Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
inverse henry,reluctance,C2T2/L2M,1/H,RP66,POSC,true,1/H,1PH,1/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per Kelvin,volumetric thermal expansion,1/K,1/K,RP66,POSC,true,1/K,1PK,1/K,linear thermal expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per kilogram,per mass,1/M,1/kg,RP66,POSC,true,1/kg,1Pkg,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per metre,per length,1/L,1/m,RP66,POSC,true,1/m,1Pm,1/m,wave number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per square metre,per area,1/L2,1/m2,RP66,POSC,true,1/m2,1Pm2,1/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per cubic metre,per volume,1/L3,1/m3,RP66,POSC,true,1/m3,1Pm3,1/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per Newton,per force,T2/LM,1/N,RP66,POSC,true,1/N,1PN,1/N,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
per Pascal,bulk compressibility,LT2/M,1/Pa,RP66,POSC,true,1/Pa,1PPa,1/Pa,compressibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per second,per time,1/T,1/s,RP66,POSC,true,1/s,1Ps,1/s,operations per time,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,
per Volt,per electric potential,CT3/L2M,1/V,RP66,POSC,true,1/V,1PV,1/V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampere,electric current,C,A,RP66,POSC,true,A,A,A,magnetic potential difference,SI,magnetomotive force,"The ampere is that constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross section, and placed 1 metre apart in vacuum,would produce between these conductors a force equal to 2 x 10**-7 newton per metre of length.",,,,,,,,,,,,,,,,,,,,,,,,,
amperes metres squared,electromagnetic moment,CL2,A.m2,RP66,POSC,true,A.m2,ATm2,A.m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amperes/metre,linear electric current density,C/L,A/m,RP66,POSC,true,A/m,APm,A/m,magnetic field strength,,magnetization,,,,,,,,,,,,,,,,,,,,,,,,,,
amperes/square metre,current density,C/L2,A/m2,RP66,POSC,true,A/m2,APm2,A/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bel,level of power intensity,1,10 dB,RP66,POSC,true,B,B,B,,POSC,,A unit of intensity. A bel is the base 10 logarithm of a power or amplitude ratio. Some systems define a specific base value.,,,,,,,,,,,,,,,,,,,,,,,,,
bels/metre,attenuation per length,1/L,10 dB/m,RP66,POSC,true,B/m,BPm,B/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bels/octave,attenuation,1,,,POSC,true,B/O,BPO,B/O,,POSC,,The power or amplitude variation that occurs over a doubling of the domain variable.,,,,,,,,,,,,,,,,,,,,,,,,,
baud,data transmission speed,1/s,1/s,RP66,POSC,true,Bd,Bd,Bd,,POSC,,"A unit of transmission speed, equal to one bit per second. This unit is being deprecated in favor of bits per second (bps).",2.1,,,,,,,,,,,,,,,,,,,,,,,,
bits per second,data transmission speed,1/s,Bd,POSC,POSC,true,bps,bps,bps,,POSC,,"A unit of transmission speed, equal to one bit per second.",,,,,,,,,,,,,,,,,,,,,,,,,
